data_range,n_samples,theoretical_prob,empirical_prob,trials_used,discriminability,lambda_sigma_ratio,log_gram_det,discrepancy
0.1,50,0.0,0.0,50,4.341500819610529e-05,0.5,-49.35559293561191,0.0
0.1,100,0.0,0.0,50,9.500396255928663e-05,0.5,-47.02177543477811,0.0
0.1,200,0.0,0.0,50,0.0002181438741763413,0.5,-44.86983320307761,0.0
0.1,300,0.0,0.0,50,0.0002843597379837312,0.5,-43.671861379536395,0.0
0.1,500,0.0,0.0,50,0.0005578721087675253,0.5,-42.0199593931729,0.0
0.5,50,0.0,0.0,50,0.6803498603111696,0.5,-20.307404789631352,0.0
0.5,100,0.0,0.0,50,1.0047368152795775,0.5,-18.882715140524905,0.0
0.5,200,0.0,0.0,50,2.444096163418437,0.5,-16.214603202582204,0.0
0.5,300,0.0,0.0,50,4.421141809338024,0.5,-14.892847887681047,0.0
0.5,500,0.0,0.0,50,6.900587259284403,0.5,-13.427706888810995,0.0
1.0,50,0.0,0.0,50,31.06777735542061,0.5,-8.981259229315013,0.0
1.0,100,0.0,0.0,50,73.59880448227784,0.5,-6.514703068896585,0.0
1.0,200,0.0,0.0,50,124.08167589481977,0.5,-4.658440619326093,0.0
1.0,300,0.0,0.06,50,180.6408917451019,0.5,-3.521903670637546,0.06
1.0,500,0.0,0.0,50,371.1901808014162,0.5,-1.781529243741807,0.0
1.5,50,0.0,0.0,50,311.37108803814147,0.5,-2.634660055991025,0.0
1.5,100,0.0,0.02,50,519.8140751897822,0.5,-0.5880634300811222,0.02
1.5,200,0.0,0.08,50,1072.3054143668323,0.5,1.3391951541764775,0.08
1.5,300,0.0,0.0,50,1382.3775640438935,0.5,2.4890511531031545,0.0
1.5,500,0.0,0.06,50,2478.6798516275667,0.5,3.9617405723476726,0.06
2.0,50,0.0,0.1,50,1157.9759404121655,0.5,0.935690498531661,0.1
2.0,100,0.0,0.1,50,1682.43190193908,0.5,2.5539588420432056,0.1
2.0,200,0.0,0.2,50,3521.1241962769864,0.5,5.017607981853928,0.2
2.0,300,0.0,0.22,50,6629.647885579303,0.5,6.457026333151795,0.22
2.0,500,0.0,0.28,50,10652.375612116683,0.5,7.842629742407059,0.28
