data_range,n_samples,theoretical_prob,empirical_prob,discriminability,lambda_sigma_ratio
0.1,50,0.0,0.0,2.1950194065086214e-05,0.5
0.1,100,0.0,0.0,3.407007062782049e-05,0.5
0.1,200,0.0,0.0,7.455059364295368e-05,0.5
0.1,300,0.0,0.0,9.829234452557348e-05,0.5
0.1,500,0.0,0.0,0.00019723438971530496,0.5
0.575,50,0.0,0.0,0.9424735288169658,0.5
0.575,100,0.0,0.0,1.0455649067217487,0.5
0.575,200,0.0,0.0,2.4336596260191508,0.5
0.575,300,0.0,0.0,4.100871109445387,0.5
0.575,500,0.0,0.0,7.109467996113351,0.5
1.05,50,0.0,0.0,15.746635176330637,0.5
1.05,100,0.0,0.0,56.802748154624275,0.5
1.05,200,0.0,0.0,83.29846368118109,0.5
1.05,300,0.0,0.0,137.41866654834052,0.5
1.05,500,0.0,0.02,233.47062898342972,0.5
1.525,50,0.0,0.0,183.27217417032873,0.5
1.525,100,0.0,0.0,342.68985670640893,0.5
1.525,200,0.0,0.04,825.1906535660038,0.5
1.525,300,0.0,0.04,1443.7898771948903,0.5
1.525,500,0.0,0.06,2025.09388401767,0.5
2.0,50,0.0,0.04,1071.8104764064956,0.5
2.0,100,0.0,0.04,1321.8239444292976,0.5
2.0,200,0.0,0.08,3482.751967202924,0.5
2.0,300,0.0,0.18,5697.381478197322,0.5
2.0,500,0.0,0.16,10271.946518059038,0.5
